"","R","m","cov","seasonality","nparams","ndatapts","n_p_ratio","NLL","AIC","min_R2","median_R2","max_R2","counts_func","counts_gradient","convergence","message","load_names1","load_names2","load_names3","load_names4","load_cors1","load_cors2","load_cors3","load_cors4","eff_names1","eff_names2","eff_cors1","eff_cors2"
"1","DUE",5,"atpc","fixed_factors",579,8191,14.146804835924,-647.296875140389,-136.593750280777,0.908625292391989,0.978932696701555,0.999920644578701,1815,255,0,"0 ","RunoffWs,PctGlacLakeFineWs,RckDepWs,RdDensWsRp100,BFIWs,PctIce2011Ws","PctUrbOp2011WsRp100,RunoffWs,RdDensWsRp100,PermWs,PctUrbLo2011WsRp100,PopDen2010Ws","RunoffWs,RckDepWs,WsAreaSqKm,PopDen2010Ws,ElevWs,PctUrbHi2011WsRp100","WsAreaSqKm,ElevWs,WsAreaOver1000,BFIWs,RdDensWsRp100,PctUrbOp2011WsRp100","-0.534251466876829,0.502676787653669,0.479085790120426,0.376718450666523,0.357284845190575,-0.29743200094295","0.723960282983137,-0.706070659273396,0.679924839477089,0.619618923880068,0.615674879381953,0.611456709825614","0.455693588748537,0.387233072063342,0.375265258938269,-0.34956712669826,0.317177129690536,-0.314818295335584","-0.730848723084958,-0.670173719254746,-0.653536904683159,-0.506350448829848,0.469807232666489,0.429307151590244","RunoffWs,PctIce2011Ws,RdDensWsRp100,PctGlacLakeFineWs,PctUrbOp2011WsRp100,PctCrop2011Ws","PctUrbOp2011WsRp100,ElevWs,PctUrbLo2011WsRp100,PopDen2010Ws,PctImp2006WsRp100,RdDensWsRp100","0.485796228258158,0.42466157589583,-0.380041877774914,-0.336285086948615,-0.321967330850143,0.309888279744016","-0.624540421572031,0.623225061929138,-0.548616776865934,-0.545659769897288,-0.525434051526059,-0.514935349676174"
"2","DUE",5,"atsn","fixed_factors",579,8191,14.146804835924,-371.13780475468,415.72439049064,0.916786361407588,0.980013973791216,0.999936107198724,2211,402,0,"0 ","RckDepWs,PctGlacLakeFineWs,RunoffWs,RdDensWsRp100,BFIWs,PctIce2011Ws","PermWs,PctUrbOp2011WsRp100,ElevWs,PctUrbLo2011WsRp100,PctImp2006WsRp100,PopDen2010Ws","RunoffWs,PctAlluvCoastWs,PopDen2010Ws,PctGlacLakeFineWs,PctUrbHi2011WsRp100,PctUrbOp2011WsRp100","WsAreaSqKm,ElevWs,WsAreaOver1000,RdDensWsRp100,PctUrbOp2011WsRp100,PctIce2011Ws","0.574122560040602,0.517928765580123,-0.513400210059459,0.444567350992607,0.359194853497481,-0.340472550698507","0.70018515698213,0.691363336853293,-0.6554338729752,0.653371149944378,0.625462523046454,0.623895317929182","0.577421069033709,0.386945958728804,-0.324396031481983,-0.300332580472742,-0.29530434104522,-0.291668918534469","-0.743359392639395,-0.735504643575243,-0.715439226600959,0.543098508755612,0.510012890003765,-0.496467407033775","ElevWs,PctUrbLo2011WsRp100,PctUrbOp2011WsRp100,PctImp2006WsRp100,PctUrbHi2011WsRp100,PopDen2010Ws","PctUrbOp2011WsRp100,ElevWs,PctUrbLo2011WsRp100,PopDen2010Ws,RdDensWsRp100,PctImp2006WsRp100","0.586363829144619,-0.391021877146062,-0.388417926767578,-0.38252666078243,-0.361507432353467,-0.360912877800445","-0.588044214200622,0.542862568645367,-0.518426181398092,-0.514272150108454,-0.49901666250772,-0.492330639518502"
"3","DUE",5,"atpcsn","fixed_factors",598,8191,13.6973244147157,-673.482097388624,-150.964194777248,0.909189940586654,0.979260162811538,0.999938175337511,226,26,0,"0 ","RunoffWs,PctGlacLakeFineWs,RckDepWs,RdDensWsRp100,BFIWs,PctIce2011Ws","PctUrbOp2011WsRp100,RunoffWs,RdDensWsRp100,PermWs,PctUrbLo2011WsRp100,PopDen2010Ws","RunoffWs,RckDepWs,WsAreaSqKm,PopDen2010Ws,PctAlluvCoastWs,PctUrbHi2011WsRp100","WsAreaSqKm,ElevWs,WsAreaOver1000,BFIWs,RdDensWsRp100,PctUrbOp2011WsRp100","-0.536357739338508,0.502908727746915,0.482947560197095,0.383147047800846,0.348888203656208,-0.30336805698142","0.720682376788964,-0.702899253144061,0.677372875578623,0.625768005125649,0.613254945982723,0.611453714673271","0.44950591641201,0.404615465775696,0.369202183252243,-0.334971125368971,0.330734921779322,-0.300137307854078","-0.736870331997374,-0.66249451522457,-0.653065711918858,-0.503325556787527,0.467453518315278,0.425050905843248","RunoffWs,PctIce2011Ws,RdDensWsRp100,PctGlacLakeFineWs,PctUrbOp2011WsRp100,PctCrop2011Ws","ElevWs,PctUrbLo2011WsRp100,PctUrbOp2011WsRp100,PctImp2006WsRp100,PopDen2010Ws,PctUrbHi2011WsRp100","0.487856679683728,0.426638718769676,-0.384791849177228,-0.338328880687155,-0.327587966019803,0.310044123144658","0.637763804508039,-0.431033201652568,-0.430214560023942,-0.414444996261616,-0.393868499781038,-0.387069838348395"
"4","DUE",6,"atpc","fixed_factors",593,8191,13.8128161888702,-771.574181114286,-357.148362228572,0.927902368158821,0.978809694143935,0.999950972454844,1547,234,0,"0 ","RunoffWs,RckDepWs,PctAlluvCoastWs,WtDepWs,PopDen2010Ws,PctIce2011Ws","WtDepWs,OmWs,PctCrop2011Ws,ElevWs,BFIWs,PctAlluvCoastWs","RckDepWs,PctIce2011Ws,RdDensWsRp100,PermWs,WtDepWs,PctUrbOp2011WsRp100","WsAreaSqKm,ElevWs,WsAreaOver1000,BFIWs,RdDensWsRp100,PctIce2011Ws","0.457074144529187,0.405837135412492,0.374321077599228,-0.329307766259148,-0.297904674551678,-0.272435046630885","-0.658705701455899,0.629420931879211,0.6267660423649,-0.368387959288239,-0.321415905989005,0.303991921722057","-0.844899396037552,0.804834290296565,-0.661061301839317,-0.628030547417353,0.615240239830468,-0.584283785840231","-0.715481138214515,-0.684910055231097,-0.660781542689829,-0.533299860109128,0.459838385186108,-0.436889147246476","RunoffWs,PctIce2011Ws,RdDensWsRp100,PctGlacLakeFineWs,PctCrop2011Ws,PctUrbOp2011WsRp100","ElevWs,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PopDen2010Ws,PctImp2006WsRp100,RdDensWsRp100","0.500411748150506,0.405621413500535,-0.382744361979877,-0.354259166253659,0.351285479801375,-0.322513380554486","0.650999592583804,-0.624405935585059,-0.550140737575166,-0.5394331325816,-0.523887797506499,-0.514323764835065"
"5","DUE",6,"atsn","fixed_factors",593,8191,13.8128161888702,-491.571743596431,202.856512807139,0.930024780838178,0.979134170471995,0.999961232603705,2311,417,0,"0 ","RckDepWs,RunoffWs,PctGlacLakeFineWs,RdDensWsRp100,PctIce2011Ws,BFIWs","OmWs,PctCrop2011Ws,WtDepWs,ElevWs,BFIWs,PctAlluvCoastWs","RckDepWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,PermWs,PctGlacLakeFineWs","ElevWs,WsAreaSqKm,WsAreaOver1000,RdDensWsRp100,PctIce2011Ws,BFIWs","0.557037694299945,-0.514995603906405,0.503757825090609,0.434721495132845,-0.337410671661126,0.333916720461911","0.610021601912384,0.60506412979535,-0.596127016271704,-0.337428321219415,-0.333995170760964,0.262249827157852","-0.814142524334655,0.739095100362552,0.563697011451635,-0.518805236846358,-0.444367403726058,-0.403018519696066","-0.739775730176464,-0.725258039115768,-0.713255006886984,0.520550832657584,-0.501265171554393,-0.492543691285012","ElevWs,PctUrbLo2011WsRp100,PctImp2006WsRp100,PctUrbOp2011WsRp100,PopDen2010Ws,PctUrbHi2011WsRp100","ElevWs,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PopDen2010Ws,RdDensWsRp100,PctIce2011Ws","0.517720283245211,-0.449075922313704,-0.448208894284209,-0.447198798975181,-0.43906866260116,-0.432278759538664","0.61053081004601,-0.580636921456485,-0.514627814991249,-0.492322301711183,-0.487918332759657,0.481796596559053"
"6","DUE",6,"atpcsn","fixed_factors",612,8191,13.3839869281046,-794.917717143294,-365.835434286589,0.930594272104835,0.979211788260037,0.999947272377839,2324,326,0,"0 ","RunoffWs,RckDepWs,PctGlacLakeFineWs,RdDensWsRp100,BFIWs,PctIce2011Ws","WtDepWs,OmWs,PctCrop2011Ws,ElevWs,BFIWs,WsAreaOver1000","RckDepWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,PermWs,PctUrbOp2011WsRp100","WsAreaSqKm,ElevWs,WsAreaOver1000,BFIWs,RdDensWsRp100,PctIce2011Ws","-0.532652647203564,0.495547648614621,0.487523361938817,0.382924976232919,0.363272302563137,-0.304609196605479","-0.643193059809027,0.625803288593089,0.61832517815874,-0.373122751191083,-0.305948889023844,-0.284796735312837","-0.85987418387827,0.797228857171421,0.633611274644525,-0.632548672323162,-0.597932427634767,-0.554141120554235","-0.723231672727322,-0.679998878060592,-0.662359860989723,-0.53483064451528,0.454297074014583,-0.427956196831329","RunoffWs,PctIce2011Ws,RdDensWsRp100,PctGlacLakeFineWs,PctCrop2011Ws,PctUrbOp2011WsRp100","ElevWs,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PctImp2006WsRp100,PopDen2010Ws,PctUrbHi2011WsRp100","0.500983960086683,0.407354569374475,-0.38614635582831,-0.35297130877991,0.351461025395548,-0.326751951971271","0.567229044780939,-0.477393492800363,-0.476269961136931,-0.468479944849014,-0.459956516659356,-0.448052881654035"
"7","DUE",7,"atpc","fixed_factors",606,8191,13.516501650165,-866.484884335901,-520.969768671803,0.918966362294444,0.97812530488428,0.999776873343753,2355,409,0,"0 ","RunoffWs,PctGlacLakeFineWs,RckDepWs,RdDensWsRp100,BFIWs,PctIce2011Ws","BFIWs,OmWs,RckDepWs,PctCrop2011Ws,WsAreaOver1000,PctIce2011Ws","RckDepWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,PermWs,PctUrbOp2011WsRp100","WsAreaSqKm,ElevWs,WsAreaOver1000,BFIWs,RdDensWsRp100,PctUrbOp2011WsRp100","-0.53370097708592,0.490151175886516,0.487027776957358,0.375534395041356,0.359250606147959,-0.301237539662111","0.235390447939543,-0.215652538642257,0.193457182945523,0.186038040443746,-0.143386492417396,0.120750290481151","-0.890675787338144,0.772694175098454,0.655060659246117,-0.572346194482213,-0.557693448027525,-0.494096903409378","-0.729390834351386,-0.653980484703346,-0.637372521683424,-0.538773670217401,0.43239528832018,0.396533791415074","RunoffWs,PctIce2011Ws,RdDensWsRp100,PctGlacLakeFineWs,PctCrop2011Ws,PctUrbOp2011WsRp100","ElevWs,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PopDen2010Ws,PctImp2006WsRp100,RdDensWsRp100","0.502739516030705,0.406635204104359,-0.385916961037336,-0.355385536856351,0.349152894789689,-0.32645308798523","0.635576672227095,-0.615102425415417,-0.54509119230059,-0.534694065576585,-0.519521553251089,-0.501920495266039"
"8","DUE",7,"atsn","fixed_factors",606,8191,13.516501650165,-601.024546426765,9.95090714647085,0.923601285684477,0.979491858006538,0.999599708104891,2546,467,0,"0 ","RckDepWs,RunoffWs,PctGlacLakeFineWs,RdDensWsRp100,PctIce2011Ws,BFIWs","OmWs,BFIWs,PctIce2011Ws,PermWs,PctUrbHi2011WsRp100,PctCrop2011Ws","RckDepWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,PermWs,BFIWs","WsAreaSqKm,ElevWs,WsAreaOver1000,RdDensWsRp100,BFIWs,PctUrbOp2011WsRp100","0.551227119494989,-0.520831115110821,0.50214971523123,0.427249251427117,-0.334224725227435,0.332137954820107","-0.251864791928377,0.181107032928519,0.167525762134379,0.10037384335094,-0.0961398518027268,0.0900223075115504","-0.81885833754005,0.70174429623074,0.568340611756881,-0.445565236523758,-0.385267186327973,-0.34136654306899","-0.743144766228727,-0.720039235992865,-0.697358615385257,0.504931959971768,-0.49174341525923,0.481092633149736","ElevWs,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PctImp2006WsRp100,PopDen2010Ws,PctUrbHi2011WsRp100","ElevWs,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PopDen2010Ws,PctImp2006WsRp100,PctIce2011Ws","0.568527115944448,-0.472781474654641,-0.464006127875238,-0.458634989876528,-0.447505160070001,-0.433670291446681","0.565419201702659,-0.5564328992179,-0.496806711703969,-0.479765332990881,-0.466950169755161,0.464860557378848"
"9","DUE",7,"atpcsn","fixed_factors",625,8191,13.1056,-891.901845077616,-533.803690155232,0.918939448606167,0.979269268949441,0.999778334642516,2482,433,0,"0 ","RckDepWs,RunoffWs,PctAlluvCoastWs,WtDepWs,PctIce2011Ws,PopDen2010Ws","BFIWs,OmWs,RckDepWs,PctCrop2011Ws,WsAreaOver1000,WsAreaSqKm","RckDepWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,PermWs,PctUrbOp2011WsRp100","WsAreaSqKm,ElevWs,WsAreaOver1000,BFIWs,RdDensWsRp100,PctUrbOp2011WsRp100","0.454676589275233,0.422278735342147,0.396684611386624,-0.372508588260258,-0.301505593014382,-0.287636934225658","-0.222825072977156,0.206854149382124,-0.187949454937095,-0.182172519622678,0.123235144352878,-0.118598909671869","-0.890450577264326,0.765249015935268,0.650837431449445,-0.549660374106324,-0.538102380605903,-0.467013116639867","-0.736140004071494,-0.653604471003321,-0.641376423652852,-0.543136160474834,0.426926081932945,0.393803109084366","RunoffWs,PctIce2011Ws,RdDensWsRp100,PctGlacLakeFineWs,PctCrop2011Ws,PctUrbOp2011WsRp100","ElevWs,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PctImp2006WsRp100,PopDen2010Ws,PctUrbHi2011WsRp100","0.503509881244999,0.408572033085272,-0.389414074780346,-0.354611042362078,0.348568086051862,-0.331044328356355","0.591977169618401,-0.484768202137509,-0.476308941531022,-0.465221314088903,-0.456033847860966,-0.438528813206508"
"10","DUE",8,"atpc","fixed_factors",618,8191,13.2540453074434,-926.538570356269,-617.077140712538,0.92147308070649,0.985256613184382,0.999600119050479,2598,456,0,"0 ","RunoffWs,RckDepWs,PctGlacLakeFineWs,RdDensWsRp100,BFIWs,PctIce2011Ws","PctUrbLo2011WsRp100,PctImp2006WsRp100,PctUrbMd2011WsRp100,PopDen2010Ws,PctUrbHi2011WsRp100,PctUrbOp2011WsRp100","RckDepWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,PermWs,PctUrbOp2011WsRp100","WsAreaSqKm,ElevWs,WsAreaOver1000,BFIWs,RdDensWsRp100,PctIce2011Ws","-0.53251985215325,0.508141456884022,0.480844800900591,0.390759166601275,0.376436605111265,-0.298828020308187","-0.819925511195874,-0.794539765612325,-0.770407701984794,-0.748549440107552,-0.745470782250733,-0.729143330460013","-0.890812679994546,0.776348555783334,0.641017118697228,-0.582626090312578,-0.568362649754804,-0.503781421502697","-0.730249203345886,-0.670279812694638,-0.649268420963361,-0.548019396833946,0.433758422522149,-0.409828432680883","RunoffWs,PctIce2011Ws,RdDensWsRp100,PctGlacLakeFineWs,PctCrop2011Ws,PctUrbOp2011WsRp100","ElevWs,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PopDen2010Ws,PctImp2006WsRp100,RdDensWsRp100","0.503974418063884,0.404178347817808,-0.385568106183774,-0.355933860705489,0.343869384928709,-0.325996663775646","0.637943213927233,-0.610840480706641,-0.538086731981303,-0.527479103337581,-0.511660217223561,-0.498440580688487"
"11","DUE",8,"atsn","fixed_factors",618,8191,13.2540453074434,-657.222510525207,-78.4450210504137,0.93579158268737,0.979256517543957,0.999723245573865,2657,488,0,"0 ","RckDepWs,RunoffWs,PctGlacLakeFineWs,RdDensWsRp100,PctIce2011Ws,BFIWs","WsAreaSqKm,PctUrbHi2011WsRp100,PctUrbMd2011WsRp100,PopDen2010Ws,PctUrbLo2011WsRp100,PctImp2006WsRp100","RunoffWs,PctAlluvCoastWs,RckDepWs,WtDepWs,PopDen2010Ws,PctIce2011Ws","WsAreaSqKm,ElevWs,WsAreaOver1000,BFIWs,RdDensWsRp100,PctUrbOp2011WsRp100","0.567723047080632,-0.527023545929529,0.510956017537456,0.431735601685781,-0.350957266621037,0.325200522253061","-0.398298853039184,0.269750801277445,0.258084984786571,0.245552518720334,0.237045210053699,0.236285648587536","0.519103895170552,0.448468296394116,0.375309392230704,-0.324314235510318,-0.2776624221942,-0.25172922337778","-0.728980562923621,-0.700262447305855,-0.688639181926441,-0.498142246251446,0.474570530257646,0.456434395189627","ElevWs,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PctImp2006WsRp100,PopDen2010Ws,PctUrbHi2011WsRp100","ElevWs,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PopDen2010Ws,PctIce2011Ws,RdDensWsRp100","0.543031937055963,-0.458456816313836,-0.452100563902085,-0.449456238360692,-0.438853683076682,-0.428439123500792","0.597369738256781,-0.570606563354258,-0.502131447681336,-0.485003196336269,0.479207116229844,-0.476371504972779"
"12","DUE",8,"atpcsn","fixed_factors",637,8191,12.8587127158556,-952.190029756784,-630.380059513567,0.92138307072512,0.984225169445205,0.999640072150385,2736,486,0,"0 ","RunoffWs,RckDepWs,PctGlacLakeFineWs,RdDensWsRp100,BFIWs,PctIce2011Ws","OmWs,BFIWs,PctIce2011Ws,PctCrop2011Ws,RckDepWs,WsAreaSqKm","RckDepWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,PermWs,PctUrbOp2011WsRp100","WsAreaSqKm,ElevWs,WsAreaOver1000,BFIWs,RdDensWsRp100,PctIce2011Ws","-0.539647390659258,0.510649350162978,0.486016716318473,0.397699755750877,0.378023506478196,-0.301472886168471","0.310353242700512,-0.2406626589781,-0.225148953521016,-0.162208831831363,-0.142028431660576,-0.125253111164747","-0.896391570278434,0.762979589005632,0.647916930908402,-0.546474576287811,-0.532994511612184,-0.462229362698771","-0.735585459929817,-0.668113709332151,-0.651406856848313,-0.552615709300769,0.428378769485285,-0.402408557980616","RunoffWs,PctIce2011Ws,RdDensWsRp100,PctGlacLakeFineWs,PctCrop2011Ws,PctUrbOp2011WsRp100","ElevWs,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PctImp2006WsRp100,PopDen2010Ws,PctUrbHi2011WsRp100","0.504836765095766,0.405889374299638,-0.388536172577512,-0.355419849236407,0.343405481326427,-0.329802583554138","0.591709996884397,-0.476466835068531,-0.461085709658955,-0.449386628928027,-0.439885809986175,-0.421225095667565"
"13","DUE",9,"atpc","fixed_factors",629,8191,13.0222575516693,-982.457106393596,-706.914212787192,0.930851551530326,0.985556205299833,0.999870651127037,3298,737,0,"0 ","RunoffWs,RckDepWs,PctGlacLakeFineWs,RdDensWsRp100,BFIWs,PctIce2011Ws","WsAreaSqKm,OmWs,RckDepWs,WsAreaOver1000,BFIWs,WtDepWs","WtDepWs,PctCrop2011Ws,OmWs,BFIWs,ElevWs,WsAreaOver1000","PctCrop2011Ws,OmWs,PctAlluvCoastWs,WsAreaSqKm,WtDepWs,PctGlacLakeFineWs","-0.556944951354349,0.484680604904126,0.48138011607167,0.338600960120935,0.318900547995779,-0.270960816135538","0.264272783464352,-0.25604196376179,0.238071480592714,-0.220003637436354,0.209511627655852,-0.163715925060561","-0.566985660737632,0.520588967065778,0.48949042059603,-0.400901803094638,-0.386894789637347,-0.349551275555819","-0.602727771321995,-0.490965144451874,-0.312747262286404,0.207379071762796,0.177290237168722,-0.160821853066284","RunoffWs,PctIce2011Ws,RdDensWsRp100,PctGlacLakeFineWs,PctCrop2011Ws,PctUrbOp2011WsRp100","ElevWs,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PopDen2010Ws,PctImp2006WsRp100,RdDensWsRp100","0.502292881222144,0.40756167536239,-0.386032940691489,-0.353771366399546,0.345891021888595,-0.328447635784401","0.644445604059107,-0.616823214640752,-0.542783413554146,-0.531011165471532,-0.516912980160313,-0.506106087455013"
"14","DUE",9,"atsn","fixed_factors",629,8191,13.0222575516693,-718.391603194337,-178.783206388674,0.932938900360271,0.982690742542877,0.999927570798906,3163,645,0,"0 ","RckDepWs,RunoffWs,PctGlacLakeFineWs,BFIWs,RdDensWsRp100,PctIce2011Ws","PctUrbLo2011WsRp100,PopDen2010Ws,PctImp2006WsRp100,PctUrbOp2011WsRp100,PermWs,PctUrbMd2011WsRp100","PermWs,PctUrbOp2011WsRp100,PctIce2011Ws,RdDensWsRp100,PctImp2006WsRp100,PctUrbLo2011WsRp100","ElevWs,WsAreaSqKm,WsAreaOver1000,BFIWs,RdDensWsRp100,PctIce2011Ws","0.524242057592547,-0.523229677572136,0.450262300259168,0.348518422252791,0.344629979255003,-0.262070664198416","0.691588265338605,0.686719044229214,0.670731057290569,0.661595316224309,0.660257144612844,0.653863794503997","-0.580549741369884,-0.563107698339466,0.511675423242772,-0.497154171949159,-0.472317681062472,-0.469193232047674","-0.701416015651692,-0.691474070470322,-0.673374162018728,-0.542761228275929,0.448368247940003,-0.447306634710605","ElevWs,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PctImp2006WsRp100,PopDen2010Ws,PctUrbHi2011WsRp100","ElevWs,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PctIce2011Ws,PopDen2010Ws,RdDensWsRp100","0.550431445707353,-0.452491276119642,-0.440942385585171,-0.435740088484369,-0.426114162807619,-0.412133921858031","0.586079648012411,-0.560306016019845,-0.493826590579529,0.477944884289126,-0.474639665365755,-0.467827309235444"
"15","DUE",9,"atpcsn","fixed_factors",648,8191,12.6404320987654,-1008.23213642552,-720.464272851031,0.930032303608825,0.984753499887486,0.99991720341818,3399,755,0,"0 ","RunoffWs,RckDepWs,PctGlacLakeFineWs,RdDensWsRp100,BFIWs,PctIce2011Ws","WtDepWs,PctCrop2011Ws,OmWs,ElevWs,WsAreaOver1000,BFIWs","RunoffWs,PctAlluvCoastWs,RckDepWs,PctIce2011Ws,WtDepWs,PctGlacLakeFineWs","PctCrop2011Ws,OmWs,PctAlluvCoastWs,WtDepWs,WsAreaSqKm,PctGlacLakeFineWs","-0.546185820990228,0.503272085715989,0.470864477229099,0.340660516056058,0.327431939744026,-0.276567317423631","0.541158198388485,-0.48643570028036,-0.432845391594956,0.389563780260633,0.374695453947298,0.339357352778838","0.473747651659569,0.458203516669335,0.374230678887632,-0.3203224975691,-0.31736574132917,-0.192288511872803","-0.669271368278751,-0.520613069682765,-0.279831897648936,0.245412259508206,0.164495962728154,-0.162739490806108","RunoffWs,PctIce2011Ws,RdDensWsRp100,PctGlacLakeFineWs,PctCrop2011Ws,PctUrbOp2011WsRp100","ElevWs,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PctImp2006WsRp100,PopDen2010Ws,PctUrbHi2011WsRp100","0.503072250831701,0.409464336326078,-0.389418616179415,-0.352943161829078,0.345476146007643,-0.332572375147382","0.588974032499548,-0.469468823474408,-0.457534698335241,-0.444340957221147,-0.432434962407021,-0.415352571393276"
